Age,TenureMonths,MonthlyCharge,SupportCalls,ContractType,Churn
55,10,63.69,1,One Year,0
29,65,92.95,2,Month-to-Month,0
41,22,96.55,1,One Year,0
45,50,35.89,2,Month-to-Month,1
25,14,81.02,0,Month-to-Month,1
45,64,33.54,2,Two Year,0
53,47,95.14,1,Month-to-Month,0
43,29,85.7,2,Two Year,0
25,36,115.66,3,One Year,0
67,52,26.9,1,Month-to-Month,0
45,7,25.71,2,Two Year,0
45,29,48.22,1,Month-to-Month,0
54,11,46.17,3,Two Year,1
58,33,44.7,1,Month-to-Month,0
53,6,110.63,1,Two Year,1
44,32,44.95,1,Month-to-Month,0
34,51,47.19,1,One Year,0
26,58,95.94,0,One Year,0
50,26,64.97,1,Two Year,0
37,46,97.67,1,Two Year,0
30,29,26.54,1,Two Year,0
45,4,68.76,1,Two Year,0
65,13,23.36,3,Month-to-Month,1
46,39,26.27,0,Month-to-Month,0
30,15,110.64,1,Month-to-Month,1
63,29,33.92,2,Month-to-Month,0
52,29,73.24,0,Month-to-Month,1
23,32,61.11,2,One Year,0
35,2,54.73,1,Month-to-Month,1
68,47,109.98,3,One Year,0
22,22,22.18,1,Month-to-Month,1
64,27,86.38,4,Month-to-Month,1
42,67,116.34,0,One Year,0
19,56,76.02,2,One Year,0
