StudyHoursPerDay,SleepHoursPerDay,AttendancePercent,Gender,ParentalEducation,Extracurricular,ExamScore
2.9,6.8,100.0,Female,Master's,Yes,65.0
4.3,7.9,75.0,Female,High School,No,68.4
2.4,8.2,76.4,Male,PhD,Yes,65.8
8.4,5.3,73.5,Male,High School,No,68.7
3.5,6.8,78.6,Female,Bachelor's,Yes,65.2
3.4,6.4,80.6,Male,PhD,Yes,56.6
5.6,5.8,91.1,Female,Master's,Yes,74.8
7.9,7.4,86.8,Female,Bachelor's,No,70.5
7.6,5.9,88.3,Female,PhD,Yes,68.4
4.0,6.4,79.1,Female,Bachelor's,No,67.3
5.5,7.3,84.3,Female,High School,No,58.6
5.3,7.5,97.2,Female,PhD,No,59.5
6.1,7.4,84.8,Female,Bachelor's,No,75.1
5.5,9.9,88.1,Male,Bachelor's,No,71.0
3.1,6.3,64.7,Male,Bachelor's,Yes,40.4
2.5,7.3,90.2,Male,High School,Yes,69.4
5.4,5.4,87.6,Male,Bachelor's,No,57.7
2.6,7.6,97.9,Female,Bachelor's,Yes,60.2
7.7,8.5,57.5,Female,High School,Yes,70.7
5.1,8.6,85.2,Male,Bachelor's,No,81.5
2.9,6.2,83.7,Male,High School,No,57.9
4.4,6.6,85.8,Male,Master's,No,70.0
4.0,8.6,78.6,Female,High School,No,61.4
4.7,6.9,87.0,Male,Bachelor's,No,68.7
6.9,8.2,91.9,Male,Bachelor's,Yes,66.5
2.1,5.7,85.3,Female,Bachelor's,No,55.5
1.3,8.8,81.9,Male,Bachelor's,Yes,52.4
5.7,8.3,82.7,Female,High School,Yes,63.4
4.6,7.6,81.0,Male,High School,Yes,68.2
5.3,6.0,85.2,Male,High School,No,73.2
5.9,6.8,77.6,Female,Master's,No,70.2
4.6,7.2,64.9,Male,High School,Yes,60.0
6.6,7.3,98.4,Female,Bachelor's,No,79.2
3.2,6.9,67.2,Male,High School,Yes,50.2
5.1,6.7,83.6,Male,High School,No,67.7
3.3,7.3,71.7,Male,Bachelor's,No,61.3
2.7,8.8,81.9,Male,PhD,Yes,60.5
6.2,4.4,75.1,Male,Bachelor's,Yes,65.6
6.1,5.2,84.3,Female,Bachelor's,Yes,70.5
1.1,5.0,76.3,Male,Bachelor's,No,45.8
2.8,6.1,71.7,Male,Bachelor's,Yes,55.5
5.6,4.7,87.8,Female,High School,No,71.6
7.1,7.7,98.0,Female,Bachelor's,Yes,64.4
3.7,7.1,88.1,Female,PhD,No,71.1
4.6,6.7,85.8,Male,High School,Yes,69.6
2.2,6.1,74.1,Male,High School,Yes,57.2
10.0,7.2,83.8,Female,Master's,No,74.6
6.0,7.2,89.1,Female,High School,No,67.1
6.8,7.4,78.1,Male,High School,Yes,68.1
6.3,6.1,93.6,Female,High School,Yes,77.8
6.9,7.8,84.2,Male,Master's,Yes,78.7
6.2,5.1,88.2,Female,PhD,Yes,78.8
4.3,8.6,79.6,Female,PhD,No,64.0
6.5,3.0,79.7,Male,Bachelor's,No,52.0
5.2,6.2,86.8,Male,PhD,Yes,61.3
7.6,5.4,88.4,Female,High School,Yes,72.9
3.5,8.0,88.1,Female,Bachelor's,No,64.6
3.9,5.1,74.4,Male,Bachelor's,Yes,49.8
6.3,9.4,77.2,Female,Bachelor's,No,68.6
7.6,5.0,84.3,Male,PhD,Yes,74.6
5.3,9.6,66.0,Male,Master's,Yes,62.3
3.6,7.6,95.0,Male,Bachelor's,No,62.5
4.8,7.0,87.7,Female,Master's,Yes,83.4
4.0,7.6,84.9,Female,Master's,No,62.7
8.8,9.9,77.4,Female,High School,Yes,94.1
6.8,8.2,92.7,Female,Bachelor's,Yes,77.6
7.5,4.1,81.8,Male,Bachelor's,No,65.6
5.6,8.6,100.0,Female,PhD,No,75.9
3.9,7.3,88.4,Female,Master's,Yes,62.1
7.3,4.9,69.6,Male,Bachelor's,No,67.3
8.3,8.0,91.8,Female,PhD,No,62.7
6.2,5.4,79.2,Female,High School,No,69.2
5.0,7.2,79.3,Female,Bachelor's,No,60.3
7.2,7.3,82.1,Male,High School,No,80.0
4.3,6.2,83.2,Female,Bachelor's,Yes,64.9
6.5,7.8,87.0,Male,PhD,Yes,70.7
3.6,5.7,92.1,Male,Master's,Yes,56.2
3.1,7.2,89.0,Female,High School,Yes,62.5
6.1,6.3,77.2,Male,High School,No,64.0
5.7,6.8,70.9,Male,Master's,Yes,61.0
8.8,9.5,76.4,Male,High School,Yes,92.7
4.4,7.1,88.0,Female,Master's,No,63.2
